,mean,std,normalizedMean,normalizedStd,normalizedStdErr,sterr
YFP-AGA -Arg,1970.0279541,268.971201129,0.561364685267,0.0942388446645,0.0544088223352,155.290595376
YFP-AGA -Leu,2957.5949707,245.181672756,0.842774523285,0.107971269308,0.0623372413999,141.555704766
YFP-AGA Rich,3509.35498047,342.786364952,1.0,0.138137386788,0.0797536574469,197.90780008
YFP-AGG -Arg,2405.83959961,206.386773853,0.740587649125,0.0665027128809,0.0383953591836,119.157459441
YFP-AGG -Leu,2255.31282552,85.0795215644,0.694251114566,0.0320218250091,0.018487809289,49.1206846777
YFP-AGG Rich,3248.55485026,86.2149951944,1.0,0.0375325094092,0.0216694044108,49.7762506837
YFP-CGA -Arg,3340.5460612,259.548508191,0.758016803051,0.0915324320345,0.0528462742747,149.850401072
YFP-CGA -Leu,3389.64086914,251.9299237,0.769157104272,0.091229989138,0.052671658787,145.451809265
YFP-CGA Rich,4406.95515951,407.361766005,1.0,0.130724392109,0.0754737629736,235.19042526
YFP-CGG -Arg,3165.79956055,209.208542257,0.781065588809,0.0724624496674,0.0418362148216,120.786608189
YFP-CGG -Leu,2877.71142578,182.252170432,0.709988527768,0.0644913493081,0.0372340978834,105.223339659
YFP-CGG Rich,4053.18017578,263.920729273,1.0,0.0920857841357,0.0531657522593,152.374704091
YFP-CGT -Arg,4554.25455729,409.991063274,0.596601105804,0.0640125868788,0.036957684266,236.708450746
YFP-CGT -Leu,5618.77490234,414.757859813,0.736051812175,0.0692706631373,0.0399934360092,239.460562012
YFP-CGT Rich,7633.66764323,445.641423803,1.0,0.082559547383,0.0476657769057,257.291195995
YFP-CTA -Arg,2297.22949219,294.217009616,0.566277038821,0.115552549171,0.0667142953693,169.866269702
YFP-CTA -Leu,3086.86905924,418.264419353,0.7609266188,0.15887820591,0.0917283749505,241.485075106
YFP-CTA Rich,4056.72371419,644.444120835,1.0,0.224659523321,0.129707236266,372.069986642
YFP-CTC -Arg,2347.33968099,251.837359698,0.54047862944,0.0715211036316,0.0412927284345,145.398367414
YFP-CTC -Leu,3363.28417969,439.180606105,0.774401437753,0.117576570511,0.0678828646351,253.561041158
YFP-CTC Rich,4343.07584635,336.431968723,1.0,0.109550620301,0.0632490801209,194.239087706
YFP-CTT -Arg,2690.70719401,424.419760787,0.599712726239,0.10765464984,0.0621544410649,245.03886314
YFP-CTT -Leu,3668.62670898,444.01086965,0.817674301423,0.121257481091,0.0700080393494,256.349795115
YFP-CTT Rich,4486.66015625,384.481282085,1.0,0.121190066701,0.0699691176332,221.98037171
YFP-TTA -Arg,3536.10677083,279.233730712,0.528427381866,0.0507296440217,0.0292887736318,161.215669594
YFP-TTA -Leu,4837.15429688,531.830542607,0.722852828388,0.0887340239158,0.0512306125941,307.052506937
YFP-TTA Rich,6691.75537109,365.33101377,1.0,0.0772078544085,0.0445759755263,210.923959143
YFP-TTG -Arg,1702.22790527,280.160862254,0.684486711536,0.209965897492,0.121223867438,161.750949239
YFP-TTG -Leu,2198.48942057,464.053788989,0.884039551445,0.295276043716,0.170477703325,267.921579991
YFP-TTG Rich,2486.86771647,643.743575573,1.0,0.366079341187,0.211356006179,371.665526646
YFP-WT -Arg,4809.97688802,825.975175666,0.503230655031,0.091434916063,0.0527899734023,476.876990015
YFP-WT -Leu,6569.14664714,601.786666763,0.687278971852,0.0750275371394,0.0433171687641,347.44169405
YFP-WT Rich,9558.1953125,567.502105036,1.0,0.0839666011603,0.0484781397828,327.647493108
