top	bottom	plotaa	plotnumber	perturblevel
293t_hrgfp_arg_3h	293t_hrgfp_rich_3h	R	1	1
293t_hrgfp_leu_3h	293t_hrgfp_rich_3h	L	1	1
293t_ragbwt_arg_3h	293t_ragbwt_rich_3h	R	1	2
293t_ragbwt_leu_3h	293t_ragbwt_rich_3h	L	1	2
293t_ragbq99l_arg_3h	293t_ragbq99l_rich_3h	R	1	3
293t_ragbq99l_leu_3h	293t_ragbq99l_rich_3h	L	1	3
293t_hrgfp_leu_3h	293t_hrgfp_rich_3h	L	2	1
293t_ragbwt_leu_3h	293t_ragbwt_rich_3h	L	2	2
293t_ragbq99l_leu_3h	293t_ragbq99l_rich_3h	L	2	3
293t_hrgfp_arg_3h	293t_hrgfp_rich_3h	R	3	1
293t_ragbwt_arg_3h	293t_ragbwt_rich_3h	R	3	2
293t_ragbq99l_arg_3h	293t_ragbq99l_rich_3h	R	3	3
293t_arg_3h	293t_rich_3h	R	4	1
293t_ltoar_3h	293t_rich_3h	R	4	1
293t_ltorin1tor_3h	293t_torin1_6h	R	4	1
293t_torintor_3h	293t_torin1_6h	R	4	1
293t_totalaa_6h	293t_rich_3h	R	4	1
