sample1	sample2
hela_arg_mono_3h	hela_rich_mono_3h
hela_leu_mono_3h	hela_rich_mono_3h
293t_hrgfp_arg_3h	293t_hrgfp_rich_3h
293t_hrgfp_leu_3h	293t_hrgfp_rich_3h
hct116_arg_3h	hct116_rich_3h
hct116_leu_3h	hct116_rich_3h
293t_hrgfp_richtorin1_3h	293t_hrgfp_rich_3h
293t_hrgfp_argtorin1_3h	293t_hrgfp_rich_3h
293t_hrgfp_leutorin1_3h	293t_hrgfp_rich_3h
293t_arg_6h	293t_rich_6h
293t_leu_6h	293t_rich_6h
gcn2ko_arg_6h	gcn2ko_rich_6h
gcn2ko_leu_6h	gcn2ko_rich_6h
ragbq99l_arg_6h	ragbq99l_rich_6h
ragbq99l_leu_6h	ragbq99l_rich_6h
293t_ragbq99l_arg_3h	293t_ragbq99l_rich_3h
293t_ragbq99l_leu_3h	293t_ragbq99l_rich_3h
293t_ragbwt_arg_3h	293t_ragbwt_rich_3h
293t_ragbwt_leu_3h	293t_ragbwt_rich_3h
hrgfp_arg_6h	hrgfp_rich_6h
hrgfp_leu_6h	hrgfp_rich_6h
293t_rpC_arg_3h	293t_rpC_rich_3h
293t_rpC_leu_3h	293t_rpC_rich_3h
293t_rpC_arg_6h	293t_rpC_rich_3h
